Abbey Dubbel,abbey-dubbel,71
Abbey Tripel,abbey-tripel,72
Abt/Quadrupel,abt-quadrupel,80
Altbier,altbier,2
Amber Ale,amber-ale,53
Amber Lager/Vienna,amber-lager-vienna,36
American Pale Ale,american-pale-ale,18
American Strong Ale,american-strong-ale,64
Baltic Porter,baltic-porter,63
Barley Wine,barley-wine,11
Belgian Ale,belgian-ale,12
Belgian Strong Ale,belgian-strong-ale,13
Belgian White (Witbier),belgian-white-witbier,48
Berliner Weisse,berliner-weisse,61
Bière de Garde,biere-de-garde,58
Bitter,bitter,20
Black IPA,black-ipa,114
Brown Ale,brown-ale,15
California Common,california-common,42
Cider,cider,10
Cream Ale,cream-ale,35
Czech Pilsner (Světlý),czech-pilsner-sv283tly,31
Doppelbock,doppelbock,26
Dortmunder/Helles,dortmunder-helles,60
Dry Stout,dry-stout,22
Dunkel/Tmavý,dunkel-tmavy,28
Dunkelweizen,dunkelweizen,100
Dunkler Bock,dunkler-bock,9
Eisbock,eisbock,27
English Pale Ale,english-pale-ale,16
English Strong Ale,english-strong-ale,56
Foreign Stout,foreign-stout,79
Fruit Beer,fruit-beer,40
German Hefeweizen,german-hefeweizen,7
German Kristallweizen,german-kristallweizen,82
Golden Ale/Blond Ale,golden-ale-blond-ale,54
Grodziskie/Gose/Lichtenhainer,grodziskie-gose-lichtenhainer,117
Heller Bock,heller-bock,105
Ice Cider/Perry,ice-cider-ice-perry,112
Imperial Stout,imperial-stout,24
Imperial/Double IPA,imperial-double-ipa,81
Imperial/Strong Porter,imperial-strong-porter,113
India Pale Ale (IPA),india-pale-ale-ipa,17
Irish Ale,irish-ale,62
Kölsch,kolsch,39
Lambic Style - Faro,lambic-style--faro,77
Lambic Style - Fruit,lambic-style--fruit,14
Lambic Style - Gueuze,lambic-style--gueuze,73
Lambic Style - Unblended,lambic-style--unblended,78
Low Alcohol,low-alcohol,75
Malt Liquor,malt-liquor,8
Mead,mead,44
Mild Ale,mild-ale,55
Oktoberfest/Märzen,oktoberfest-marzen,37
Old Ale,old-ale,76
Pale Lager,pale-lager,3
Perry,perry,107
Pilsener,pilsener,4
Polotmavý,polotmavy,115
Porter,porter,5
Premium Bitter/ESB,premium-bitter-esb,101
Premium Lager,premium-lager,103
Sahti/Gotlandsdricke/Koduõlu,sahti-gotlandsdricke-koduolu,116
Saison,saison,45
Schwarzbier,schwarzbier,29
Scotch Ale,scotch-ale,102
Scottish Ale,scottish-ale,21
Session IPA,session-ipa,121
Smoked,smoked,41
Sour Red/Brown,sour-red-brown,118
Sour/Wild Ale,sour-wild-ale,52
Specialty Grain,specialty-grain,106
Spice/Herb/Vegetable,spice-herb-vegetable,57
Stout,stout,6
Strong Pale Lager/Imperial Pils,strong-pale-lager-imperial-pils,65
Sweet Stout,sweet-stout,23
Traditional Ale,traditional-ale,59
Weizen Bock,weizen-bock,25
Wheat Ale,wheat-ale,19
Zwickel/Keller/Landbier,zwickel-keller-landbier,74